10327,Web Servers
10329, DNS
10340,CGI abuses
10341, Misc.
10342, Service detection
10343,Databases
10345,Misc.
10346,CGI abuses
10347,CGI abuses
10349,CGI abuses
10350, Backdoors
10351,Misc.
10352,Web Servers
10353,SMTP problems
10356,Web Servers
10357,Web Servers
10358,Web Servers
10359,CGI abuses
10360,CGI abuses
10361,CGI abuses
10362,Web Servers
10363,Web Servers
10364,CGI abuses
10365,CGI abuses
10366,Web Servers
10367,CGI abuses
10368,Backdoors
10369,Web Servers
10370,CGI abuses
10371, Web Servers
10372,Web Servers
10374,Gain a shell remotely
10375,Denial of Service
10376,CGI abuses
10377,Denial of Service
10378,Gain a shell remotely
10379,Service detection
10380,Gain a shell remotely
10381,CGI abuses
10382,Misc.
10383, CGI abuses
10386,Web Servers
10387,CISCO
10388,Denial of Service
10389,Backdoors
10390,Backdoors
10391,Backdoors
10392,Windows
10393,CGI abuses
10394,Windows
10395,Windows
10396,Windows
10397,Windows
10398,Windows
10399,Windows : User management
10400,Windows
10401,Windows
10402, CGI abuses
10404,Windows
10405,Web Servers
10406,Web Servers
10407, Service detection
10408,Peer-To-Peer File Sharing
10409, Backdoors
10410,CGI abuses
10411,Gain a shell remotely
10412,Windows
10413,Windows
10415,CGI abuses
10416,CGI abuses
10417,CGI abuses
10418,Misc.
10419,SMTP problems
10420,Gain a shell remotely
10421,Gain a shell remotely
10422,Gain a shell remotely
10423,Misc.
10424,Misc.
10425,Gain a shell remotely
10426,Windows
10427,Windows
10428,Windows
10429,Windows
10430,Windows
10431,Windows
10432,Windows
10433,Windows : Microsoft Bulletins
10434,Windows : Microsoft Bulletins
10435,SMTP problems
10436,Gain a shell remotely
10437, RPC
10438,SMTP problems
10439,Misc.
10440,Web Servers
10441,Service detection
10442,Denial of Service
10443,General
10444, CGI abuses
10445,Web Servers
10447,Web Servers
10449,Windows
10450,FTP
10451,Windows
10452,FTP
10453, CGI abuses
10454, CGI abuses
10455,SMTP problems
10456,Windows
10457,Windows
10458,Windows
10460,CGI abuses
10461,Denial of Service
10462,Service detection
10463,Gain a shell remotely
10464,FTP
10465,CGI abuses
10466,FTP
10467,CGI abuses
10468,Web Servers
10469,Misc.
10470,CGI abuses
10471,FTP
10472,Misc.
10473,CGI abuses
10474,Windows
10475, CGI abuses
10476,CGI abuses
10477,Web Servers
10478,CGI abuses
10479,Web Servers
10480,Web Servers
10481,Databases
10482,Windows : Microsoft Bulletins
10483,Databases
10484,Web Servers
